00:01	|R 1731	|V 39.2	|I 1.2	|W 46	|TH 99%	|B 89%	|Wh 0	|T 26.2	|Pa 46W	|Pi 99	|ESP fails	
00:02	|R 2422	|V 34.7	|I 63.5	|W 2203	|TH 99%	|B 89%	|Wh 1	|T 26.5	|Pa 1124W	|Pi 48	
00:03	|R 2507	|V 34.7	|I 67.4	|W 2340	|TH 99%	|B 89%	|Wh 1	|T 26.8	|Pa 1529W	|Pi 15	
00:04	|R 2563	|V 34.7	|I 68.1	|W 2362	|TH 99%	|B 89%	|Wh 2	|T 27.1	|Pa 1737W	|Pi 99	
00:05	|R 2592	|V 34.7	|I 69.4	|W 2407	|TH 99%	|B 89%	|Wh 3	|T 27.4	|Pa 1871W	|Pi 99	
00:06	|R 2660	|V 34.7	|I 70.8	|W 2456	|TH 99%	|B 89%	|Wh 3	|T 27.6	|Pa 1969W	|Pi 99	
00:07	|R 2736	|V 34.7	|I 68.6	|W 2381	|TH 99%	|B 89%	|Wh 4	|T 27.7	|Pa 2027W	|Pi 99	
00:08	|R 2749	|V 34.7	|I 66.4	|W 2302	|TH 99%	|B 89%	|Wh 5	|T 27.9	|Pa 2062W	|Pi 99	
00:09	|R 2774	|V 34.7	|I 65.2	|W 2262	|TH 99%	|B 89%	|Wh 5	|T 28.1	|Pa 2084W	|Pi 99	
00:10	|R 2799	|V 34.8	|I 63.9	|W 2222	|TH 99%	|B 89%	|Wh 6	|T 28.2	|Pa 2098W	|Pi 99	
00:11	|R 2790	|V 34.8	|I 63.0	|W 2191	|TH 99%	|B 89%	|Wh 6	|T 28.3	|Pa 2106W	|Pi 99	
00:12	|R 2809	|V 34.8	|I 62.6	|W 2177	|TH 99%	|B 27%	|Wh 7	|T 28.5	|Pa 2112W	|Pi 99	
00:13	|R 2861	|V 34.9	|I 61.5	|W 2147	|TH 99%	|B 27%	|Wh 8	|T 28.6	|Pa 2115W	|Pi 99	
00:14	|R 3604	|V 37.0	|I 53.7	|W 1985	|TH 99%	|B 27%	|Wh 9	|T 28.7	|Pa 2105W	|Pi 99	
00:15	|R 3712	|V 38.9	|I 41.7	|W 1623	|TH 61%	|B 27%	|Wh 10	|T 28.7	|Pa 2073W	|Pi 99	
00:16	|R 2504	|V 37.2	|I 10.6	|W 392	|TH 75%	|B 27%	|Wh 9	|T 28.8	|Pa 1968W	|Pi 99	
00:17	|R 2457	|V 37.2	|I 28.9	|W 1075	|TH 75%	|B 27%	|Wh 10	|T 28.8	|Pa 1915W	|Pi 99	
00:18	|R 2803	|V 38.7	|I 26.1	|W 1008	|TH 72%	|B 27%	|Wh 10	|T 28.9	|Pa 1865W	|Pi 99	
00:19	|R 2759	|V 38.6	|I 21.0	|W 810	|TH 75%	|B 27%	|Wh 10	|T 29.0	|Pa 1809W	|Pi 99	
00:20	|R 2548	|V 37.1	|I 27.6	|W 1025	|TH 80%	|B 27%	|Wh 10	|T 29.0	|Pa 1770W	|Pi 99	
00:21	|R 2598	|V 36.8	|I 37.5	|W 1380	|TH 80%	|B 27%	|Wh 11	|T 29.2	|Pa 1752W	|Pi 99	
00:22	|R 2675	|V 36.3	|I 35.5	|W 1288	|TH 83%	|B 27%	|Wh 11	|T 29.2	|Pa 1731W	|Pi 99	
00:23	|R 2658	|V 36.5	|I 40.9	|W 1492	|TH 83%	|B 53%	|Wh 11	|T 29.4	|Pa 1720W	|Pi 99	
00:24	|R 2690	|V 36.6	|I 38.8	|W 1420	|TH 83%	|B 53%	|Wh 12	|T 29.5	|Pa 1708W	|Pi 0	
00:25	|R 2711	|V 36.3	|I 40.4	|W 1466	|TH 86%	|B 53%	|Wh 12	|T 29.5	|Pa 1698W	|Pi 1	
00:26	|R 2763	|V 36.2	|I 39.7	|W 1438	|TH 88%	|B 53%	|Wh 12	|T 29.7	|Pa 1688W	|Pi 1	
00:27	|R 2586	|V 37.4	|I 33.8	|W 1262	|TH 83%	|B 53%	|Wh 13	|T 29.8	|Pa 1672W	|Pi 3	
00:28	|R 2624	|V 37.0	|I 32.0	|W 1183	|TH 80%	|B 53%	|Wh 13	|T 29.9	|Pa 1655W	|Pi 4	
00:29	|R 2522	|V 37.3	|I 29.5	|W 1098	|TH 77%	|B 53%	|Wh 14	|T 29.9	|Pa 1635W	|Pi 6	
00:30	|R 2499	|V 37.3	|I 28.5	|W 1063	|TH 75%	|B 53%	|Wh 14	|T 30.0	|Pa 1616W	|Pi 7	
00:31	|R 2437	|V 37.8	|I 25.4	|W 958	|TH 72%	|B 53%	|Wh 15	|T 30.1	|Pa 1595W	|Pi 9	
00:32	|R 2388	|V 37.7	|I 23.0	|W 868	|TH 72%	|B 53%	|Wh 15	|T 30.2	|Pa 1572W	|Pi 11	
00:33	|R 2396	|V 37.8	|I 22.0	|W 832	|TH 72%	|B 53%	|Wh 15	|T 30.3	|Pa 1550W	|Pi 13	
00:34	|R 2426	|V 37.8	|I 21.5	|W 814	|TH 68%	|B 53%	|Wh 15	|T 30.4	|Pa 1528W	|Pi 15	
00:35	|R 2363	|V 37.7	|I 20.9	|W 788	|TH 72%	|B 53%	|Wh 15	|T 30.4	|Pa 1507W	|Pi 17	
00:36	|R 2404	|V 37.6	|I 24.9	|W 935	|TH 75%	|B 53%	|Wh 16	|T 30.5	|Pa 1491W	|Pi 18	
00:37	|R 2525	|V 37.4	|I 28.5	|W 1065	|TH 77%	|B 53%	|Wh 16	|T 30.6	|Pa 1480W	|Pi 19	
00:38	|R 2556	|V 37.3	|I 29.8	|W 1109	|TH 77%	|B 53%	|Wh 16	|T 30.7	|Pa 1470W	|Pi 20	
00:39	|R 2575	|V 37.3	|I 29.9	|W 1113	|TH 77%	|B 53%	|Wh 16	|T 30.8	|Pa 1461W	|Pi 20	
00:40	|R 2584	|V 37.3	|I 31.7	|W 1183	|TH 77%	|B 53%	|Wh 17	|T 30.8	|Pa 1454W	|Pi 21	
