00:01	|R 2289	|V 35.5	|I 9.9	|W 350	|TH 99%	|B 94%	|Wh 0	|T 24.9	|Pa 350W	|Pi 99	
00:02	|R 2443	|V 34.5	|I 60.1	|W 2073	|TH 99%	|B 94%	|Wh 1	|T 25.2	|Pa 1211W	|Pi 41	|ESP fails	
00:03	|R 2446	|V 34.5	|I 59.1	|W 2037	|TH 99%	|B 94%	|Wh 1	|T 25.5	|Pa 1486W	|Pi 18	
00:04	|R 2513	|V 34.4	|I 59.4	|W 2044	|TH 99%	|B 94%	|Wh 2	|T 25.8	|Pa 1626W	|Pi 7	
00:05	|R 2541	|V 34.4	|I 59.5	|W 2048	|TH 99%	|B 94%	|Wh 2	|T 26.0	|Pa 1710W	|Pi 0	
00:06	|R 2561	|V 34.4	|I 59.9	|W 2059	|TH 99%	|B 57%	|Wh 3	|T 26.3	|Pa 1768W	|Pi 99	
00:07	|R 2636	|V 34.4	|I 62.7	|W 2156	|TH 99%	|B 57%	|Wh 4	|T 26.4	|Pa 1823W	|Pi 99	
00:08	|R 2666	|V 34.5	|I 64.4	|W 2221	|TH 99%	|B 57%	|Wh 4	|T 26.7	|Pa 1873W	|Pi 99	
00:09	|R 2719	|V 34.5	|I 64.9	|W 2239	|TH 99%	|B 57%	|Wh 5	|T 26.8	|Pa 1914W	|Pi 99	
00:10	|R 2733	|V 34.4	|I 64.2	|W 2207	|TH 99%	|B 57%	|Wh 5	|T 26.9	|Pa 1943W	|Pi 99	
00:11	|R 2731	|V 34.5	|I 62.6	|W 2158	|TH 99%	|B 57%	|Wh 6	|T 27.1	|Pa 1962W	|Pi 99	
00:12	|R 2767	|V 34.4	|I 61.7	|W 2121	|TH 99%	|B 57%	|Wh 7	|T 27.2	|Pa 1976W	|Pi 99	
00:13	|R 2757	|V 34.3	|I 61.3	|W 2104	|TH 99%	|B 57%	|Wh 7	|T 27.4	|Pa 1985W	|Pi 99	
00:14	|R 2829	|V 34.5	|I 60.5	|W 2086	|TH 99%	|B 57%	|Wh 8	|T 27.5	|Pa 1993W	|Pi 99	
00:15	|R 2775	|V 35.6	|I 43.8	|W 1559	|TH 89%	|B 57%	|Wh 8	|T 27.6	|Pa 1964W	|Pi 99	
00:16	|R 2623	|V 36.3	|I 37.1	|W 1347	|TH 85%	|B 57%	|Wh 9	|T 27.8	|Pa 1925W	|Pi 99	
00:17	|R 2674	|V 36.2	|I 36.7	|W 1329	|TH 82%	|B 28%	|Wh 9	|T 27.8	|Pa 1890W	|Pi 99	
00:18	|R 2608	|V 36.6	|I 35.6	|W 1302	|TH 80%	|B 28%	|Wh 10	|T 28.0	|Pa 1857W	|Pi 99	
00:19	|R 2632	|V 36.7	|I 32.5	|W 1192	|TH 79%	|B 28%	|Wh 10	|T 28.0	|Pa 1822W	|Pi 99	
00:20	|R 2547	|V 37.0	|I 30.2	|W 1117	|TH 79%	|B 28%	|Wh 11	|T 28.1	|Pa 1787W	|Pi 99	
