00:01	|R 1600	|V 39.4	|I 12.0	|W 473	|TH 55%	|B 93%	|Wh 0	|T 24.4	|Pa 265W	|Pi 99	|ESP fails	
00:02	|R 1653	|V 39.2	|I 16.9	|W 660	|TH 90%	|B 93%	|Wh 1	|T 24.5	|Pa 331W	|Pi 99	
00:03	|R 1618	|V 39.4	|I 14.2	|W 560	|TH 90%	|B 93%	|Wh 1	|T 24.7	|Pa 363W	|Pi 99	|ESP fails	
00:04	|R 265	|V 40.9	|I 0.3	|W 11	|TH 90%	|B 93%	|Wh 1	|T 24.7	|Pa 363W	|Pi 99	|ESP fails	|LoRa fails	
00:05	|R 1356	|V 40.0	|I 1.2	|W 46	|TH 91%	|B 93%	|Wh 1	|T 24.5	|Pa 324W	|Pi 99	|ESP fails	
00:06	|R 2379	|V 34.7	|I 48.7	|W 1689	|TH 99%	|B 78%	|Wh 1	|T 24.6	|Pa 475W	|Pi 99	|ESP fails	
00:07	|R 2455	|V 34.4	|I 57.3	|W 1971	|TH 99%	|B 78%	|Wh 2	|T 24.8	|Pa 625W	|Pi 90	
00:08	|R 2508	|V 34.4	|I 57.1	|W 1963	|TH 99%	|B 78%	|Wh 2	|T 25.1	|Pa 746W	|Pi 80	
00:09	|R 2581	|V 34.4	|I 57.1	|W 1964	|TH 99%	|B 78%	|Wh 3	|T 25.3	|Pa 848W	|Pi 71	
00:10	|R 2666	|V 34.4	|I 58.5	|W 2013	|TH 99%	|B 78%	|Wh 3	|T 25.4	|Pa 937W	|Pi 64	
00:11	|R 2705	|V 34.4	|I 61.0	|W 2097	|TH 99%	|B 78%	|Wh 4	|T 25.6	|Pa 1020W	|Pi 57	
00:12	|R 2712	|V 34.4	|I 62.2	|W 2140	|TH 99%	|B 78%	|Wh 4	|T 25.8	|Pa 1095W	|Pi 51	
00:13	|R 2737	|V 34.4	|I 62.7	|W 2155	|TH 99%	|B 78%	|Wh 5	|T 25.9	|Pa 1161W	|Pi 45	
00:14	|R 2760	|V 34.3	|I 62.3	|W 2136	|TH 99%	|B 78%	|Wh 6	|T 26.0	|Pa 1218W	|Pi 41	
00:15	|R 2665	|V 36.0	|I 43.1	|W 1552	|TH 90%	|B 78%	|Wh 6	|T 26.2	|Pa 1237W	|Pi 39	
00:16	|R 2548	|V 37.1	|I 32.8	|W 1215	|TH 75%	|B 78%	|Wh 7	|T 26.3	|Pa 1236W	|Pi 39	
00:17	|R 2489	|V 37.0	|I 27.1	|W 1002	|TH 80%	|B 30%	|Wh 7	|T 26.4	|Pa 1224W	|Pi 40	
00:18	|R 2383	|V 37.5	|I 31.1	|W 1167	|TH 72%	|B 30%	|Wh 8	|T 26.5	|Pa 1221W	|Pi 40	
00:19	|R 2509	|V 36.9	|I 25.8	|W 953	|TH 77%	|B 30%	|Wh 8	|T 26.7	|Pa 1209W	|Pi 41	
00:20	|R 2486	|V 37.0	|I 28.7	|W 1062	|TH 77%	|B 30%	|Wh 8	|T 26.6	|Pa 1203W	|Pi 42	
00:21	|R 2486	|V 36.8	|I 32.0	|W 1177	|TH 77%	|B 30%	|Wh 8	|T 26.8	|Pa 1202W	|Pi 42	
00:22	|R 2557	|V 36.7	|I 30.5	|W 1118	|TH 79%	|B 30%	|Wh 9	|T 26.9	|Pa 1198W	|Pi 42	
00:23	|R 2590	|V 36.8	|I 31.4	|W 1156	|TH 79%	|B 30%	|Wh 9	|T 27.1	|Pa 1197W	|Pi 42	
00:24	|R 2589	|V 36.9	|I 30.8	|W 1135	|TH 78%	|B 30%	|Wh 9	|T 27.0	|Pa 1194W	|Pi 43	
00:25	|R 2561	|V 36.8	|I 31.0	|W 1141	|TH 79%	|B 30%	|Wh 10	|T 27.2	|Pa 1192W	|Pi 43	
00:26	|R 2630	|V 36.7	|I 31.5	|W 1156	|TH 80%	|B 30%	|Wh 10	|T 27.3	|Pa 1191W	|Pi 43	
00:27	|R 2642	|V 36.7	|I 32.7	|W 1198	|TH 80%	|B 30%	|Wh 10	|T 27.4	|Pa 1191W	|Pi 43	
00:28	|R 2623	|V 36.9	|I 31.4	|W 1159	|TH 79%	|B 49%	|Wh 11	|T 27.5	|Pa 1190W	|Pi 43	
00:29	|R 2657	|V 36.9	|I 30.5	|W 1126	|TH 79%	|B 49%	|Wh 11	|T 27.5	|Pa 1188W	|Pi 43	
00:30	|R 2531	|V 37.1	|I 28.4	|W 1053	|TH 75%	|B 49%	|Wh 11	|T 27.6	|Pa 1184W	|Pi 43	
00:31	|R 2447	|V 37.5	|I 25.0	|W 938	|TH 73%	|B 49%	|Wh 12	|T 27.7	|Pa 1177W	|Pi 44	
00:32	|R 2440	|V 37.5	|I 23.4	|W 875	|TH 73%	|B 49%	|Wh 12	|T 27.8	|Pa 1168W	|Pi 45	
00:33	|R 2499	|V 37.1	|I 24.4	|W 904	|TH 77%	|B 49%	|Wh 12	|T 27.9	|Pa 1161W	|Pi 45	
00:34	|R 2443	|V 37.4	|I 25.9	|W 969	|TH 75%	|B 49%	|Wh 12	|T 28.0	|Pa 1156W	|Pi 46	
00:35	|R 2510	|V 37.1	|I 27.5	|W 1019	|TH 77%	|B 49%	|Wh 12	|T 28.1	|Pa 1152W	|Pi 46	
00:36	|R 2504	|V 37.1	|I 27.9	|W 1035	|TH 75%	|B 49%	|Wh 13	|T 28.2	|Pa 1149W	|Pi 46	
00:37	|R 2375	|V 37.3	|I 27.8	|W 1035	|TH 73%	|B 49%	|Wh 13	|T 28.2	|Pa 1146W	|Pi 47	
00:38	|R 2348	|V 37.5	|I 24.1	|W 904	|TH 73%	|B 49%	|Wh 13	|T 28.4	|Pa 1140W	|Pi 47	
00:39	|R 2445	|V 37.0	|I 28.0	|W 1037	|TH 73%	|B 53%	|Wh 14	|T 28.5	|Pa 1138W	|Pi 47	
00:40	|R 2371	|V 37.2	|I 26.7	|W 991	|TH 73%	|B 53%	|Wh 14	|T 28.6	|Pa 1134W	|Pi 48	
00:41	|R 2406	|V 37.4	|I 24.4	|W 913	|TH 75%	|B 53%	|Wh 14	|T 28.7	|Pa 1129W	|Pi 48	
00:42	|R 2340	|V 37.5	|I 28.0	|W 1049	|TH 72%	|B 53%	|Wh 15	|T 28.8	|Pa 1127W	|Pi 48	
00:43	|R 2466	|V 37.0	|I 26.1	|W 966	|TH 75%	|B 53%	|Wh 15	|T 28.9	|Pa 1124W	|Pi 48	
00:44	|R 2434	|V 37.3	|I 28.5	|W 1063	|TH 73%	|B 53%	|Wh 15	|T 29.0	|Pa 1123W	|Pi 49	
00:45	|R 2409	|V 37.4	|I 25.4	|W 949	|TH 73%	|B 53%	|Wh 15	|T 29.1	|Pa 1119W	|Pi 49	
00:46	|R 2489	|V 37.1	|I 25.8	|W 957	|TH 75%	|B 53%	|Wh 16	|T 29.1	|Pa 1116W	|Pi 49	
00:47	|R 2498	|V 37.1	|I 28.7	|W 1065	|TH 75%	|B 53%	|Wh 16	|T 29.3	|Pa 1115W	|Pi 49	
00:48	|R 2488	|V 37.1	|I 28.5	|W 1055	|TH 75%	|B 53%	|Wh 16	|T 29.3	|Pa 1114W	|Pi 49	
00:49	|R 2496	|V 37.1	|I 27.7	|W 1026	|TH 77%	|B 53%	|Wh 16	|T 29.4	|Pa 1112W	|Pi 49	
00:50	|R 2418	|V 37.4	|I 27.8	|W 1038	|TH 75%	|B 53%	|Wh 17	|T 29.5	|Pa 1110W	|Pi 50	
00:51	|R 2457	|V 37.0	|I 27.8	|W 1028	|TH 77%	|B 53%	|Wh 17	|T 29.6	|Pa 1109W	|Pi 50	
00:52	|R 2486	|V 37.0	|I 28.3	|W 1047	|TH 75%	|B 53%	|Wh 17	|T 29.6	|Pa 1108W	|Pi 50	
00:53	|R 2483	|V 37.0	|I 28.3	|W 1045	|TH 77%	|B 53%	|Wh 17	|T 29.8	|Pa 1107W	|Pi 50	
00:54	|R 2481	|V 37.1	|I 28.6	|W 1061	|TH 77%	|B 53%	|Wh 18	|T 29.9	|Pa 1106W	|Pi 50	
00:55	|R 2511	|V 36.9	|I 28.7	|W 1058	|TH 77%	|B 53%	|Wh 18	|T 29.9	|Pa 1105W	|Pi 50	
00:56	|R 2510	|V 36.9	|I 30.7	|W 1134	|TH 78%	|B 53%	|Wh 18	|T 30.0	|Pa 1105W	|Pi 50	
00:57	|R 2526	|V 36.6	|I 32.1	|W 1175	|TH 79%	|B 53%	|Wh 19	|T 30.1	|Pa 1107W	|Pi 50	
00:58	|R 2543	|V 36.7	|I 33.1	|W 1215	|TH 79%	|B 53%	|Wh 19	|T 30.2	|Pa 1108W	|Pi 50	
00:59	|R 2558	|V 36.5	|I 33.5	|W 1223	|TH 82%	|B 53%	|Wh 19	|T 30.3	|Pa 1110W	|Pi 50	
01:00	|R 2618	|V 36.6	|I 36.3	|W 1328	|TH 79%	|B 53%	|Wh 20	|T 30.4	|Pa 1114W	|Pi 49	
01:01	|R 2502	|V 37.0	|I 30.3	|W 1119	|TH 77%	|B 49%	|Wh 20	|T 30.5	|Pa 1114W	|Pi 49	
01:02	|R 2483	|V 37.0	|I 28.7	|W 1061	|TH 77%	|B 49%	|Wh 20	|T 30.6	|Pa 1113W	|Pi 49	
01:03	|R 2542	|V 36.6	|I 31.9	|W 1168	|TH 79%	|B 49%	|Wh 20	|T 30.8	|Pa 1114W	|Pi 49	
01:04	|R 2496	|V 36.6	|I 34.2	|W 1250	|TH 79%	|B 49%	|Wh 21	|T 30.9	|Pa 1116W	|Pi 49	
01:05	|R 2574	|V 36.5	|I 34.3	|W 1251	|TH 80%	|B 49%	|Wh 21	|T 31.0	|Pa 1118W	|Pi 49	
01:06	|R 2554	|V 36.6	|I 34.3	|W 1255	|TH 79%	|B 49%	|Wh 22	|T 31.1	|Pa 1120W	|Pi 49	
01:07	|R 2545	|V 36.6	|I 33.5	|W 1224	|TH 79%	|B 49%	|Wh 22	|T 31.1	|Pa 1121W	|Pi 49	
01:08	|R 2524	|V 36.3	|I 36.3	|W 1318	|TH 80%	|B 49%	|Wh 22	|T 31.3	|Pa 1124W	|Pi 48	
01:09	|R 2565	|V 36.4	|I 36.5	|W 1326	|TH 80%	|B 49%	|Wh 23	|T 31.4	|Pa 1127W	|Pi 48	
01:10	|R 2583	|V 36.4	|I 35.9	|W 1308	|TH 80%	|B 49%	|Wh 23	|T 31.5	|Pa 1129W	|Pi 48	
01:11	|R 2577	|V 36.4	|I 35.3	|W 1284	|TH 80%	|B 49%	|Wh 23	|T 31.6	|Pa 1131W	|Pi 48	
01:12	|R 2555	|V 36.4	|I 35.8	|W 1301	|TH 80%	|B 46%	|Wh 24	|T 31.7	|Pa 1134W	|Pi 48	
01:13	|R 2554	|V 36.3	|I 36.3	|W 1316	|TH 80%	|B 46%	|Wh 24	|T 31.8	|Pa 1136W	|Pi 47	
01:14	|R 2547	|V 36.4	|I 34.4	|W 1250	|TH 80%	|B 46%	|Wh 24	|T 31.9	|Pa 1137W	|Pi 47	
01:15	|R 2652	|V 36.3	|I 35.3	|W 1280	|TH 82%	|B 46%	|Wh 25	|T 32.0	|Pa 1139W	|Pi 47	
01:16	|R 2628	|V 36.2	|I 37.5	|W 1358	|TH 82%	|B 46%	|Wh 25	|T 32.1	|Pa 1142W	|Pi 47	
01:17	|R 2610	|V 36.2	|I 36.4	|W 1316	|TH 82%	|B 46%	|Wh 25	|T 32.2	|Pa 1144W	|Pi 47	
01:18	|R 2621	|V 36.2	|I 36.6	|W 1326	|TH 82%	|B 46%	|Wh 26	|T 32.2	|Pa 1146W	|Pi 47	
01:19	|R 2595	|V 36.2	|I 36.5	|W 1320	|TH 82%	|B 46%	|Wh 26	|T 32.4	|Pa 1149W	|Pi 46	
01:20	|R 2580	|V 36.4	|I 35.7	|W 1297	|TH 80%	|B 46%	|Wh 27	|T 32.4	|Pa 1150W	|Pi 46	
01:21	|R 2571	|V 36.4	|I 34.1	|W 1241	|TH 82%	|B 46%	|Wh 27	|T 32.5	|Pa 1151W	|Pi 46	
01:22	|R 2586	|V 36.4	|I 35.4	|W 1288	|TH 80%	|B 46%	|Wh 27	|T 32.6	|Pa 1153W	|Pi 46	
01:23	|R 2587	|V 36.3	|I 34.5	|W 1253	|TH 80%	|B 44%	|Wh 27	|T 32.7	|Pa 1154W	|Pi 46	
01:24	|R 2569	|V 36.4	|I 35.4	|W 1287	|TH 80%	|B 44%	|Wh 28	|T 32.8	|Pa 1156W	|Pi 46	
01:25	|R 2626	|V 36.2	|I 36.2	|W 1312	|TH 82%	|B 44%	|Wh 28	|T 32.9	|Pa 1157W	|Pi 46	
01:26	|R 2667	|V 36.3	|I 35.2	|W 1278	|TH 82%	|B 44%	|Wh 29	|T 32.9	|Pa 1159W	|Pi 46	
01:27	|R 2591	|V 36.2	|I 25.9	|W 935	|TH 82%	|B 44%	|Wh 29	|T 32.9	|Pa 1156W	|Pi 46	
01:28	|R 2648	|V 36.4	|I 36.0	|W 1311	|TH 82%	|B 44%	|Wh 29	|T 33.1	|Pa 1158W	|Pi 46	
01:29	|R 2834	|V 37.1	|I 21.6	|W 801	|TH 83%	|B 44%	|Wh 30	|T 33.1	|Pa 1154W	|Pi 46	
01:30	|R 2860	|V 38.2	|I 22.9	|W 874	|TH 80%	|B 44%	|Wh 31	|T 33.1	|Pa 1151W	|Pi 46	
01:31	|R 2835	|V 38.1	|I 24.1	|W 916	|TH 73%	|B 44%	|Wh 31	|T 33.1	|Pa 1149W	|Pi 46	
01:32	|R 2378	|V 36.9	|I 20.7	|W 764	|TH 75%	|B 44%	|Wh 31	|T 33.1	|Pa 1145W	|Pi 47	
01:33	|R 2433	|V 36.8	|I 29.1	|W 1069	|TH 77%	|B 44%	|Wh 31	|T 33.3	|Pa 1144W	|Pi 47	
01:34	|R 2486	|V 36.7	|I 32.2	|W 1182	|TH 77%	|B 49%	|Wh 31	|T 33.3	|Pa 1144W	|Pi 47	
01:35	|R 2479	|V 36.7	|I 31.6	|W 1161	|TH 78%	|B 49%	|Wh 31	|T 33.4	|Pa 1144W	|Pi 47	
01:36	|R 2536	|V 36.8	|I 31.0	|W 1141	|TH 77%	|B 49%	|Wh 32	|T 33.5	|Pa 1144W	|Pi 47	
01:37	|R 2501	|V 36.7	|I 29.9	|W 1098	|TH 77%	|B 49%	|Wh 32	|T 33.5	|Pa 1144W	|Pi 47	
